Rank,Name,Platform,Year,Genre,Publisher,Developer
2121,The Lord of the Rings: Adventure Card Game,NS,2019,Strategy,Asmodee Digital  ,Fantasy Flight Interactive  
2122,The Lord of the Rings: Adventure Card Game,PC,2019,Strategy,Asmodee Digital  ,Fantasy Flight Interactive  
2123,Vambrace: Cold Soul,XOne,2019,Role-Playing,Headup Games  ,Devespresso Games  
2124,Ancestors: The Humankind Odyssey,PC,2019,Adventure, Private Division  ,Panache Digital Games  
2125,Ancestors: The Humankind Odyssey,All,2019,Adventure,Private Division  ,Panache Digital Games  
2126,Control,XOne,2019,Adventure,505 Games  ,Remedy  
2127,Control,PS4,2019,Adventure,505 Games  ,Remedy  
2128,Control,PC,2019,Adventure,505 Games  ,Remedy  
2129,Control,All,2019,Action-Adventure,505 Games  ,Remedy Entertainment  
2130,Crystar,PC,2019,Role-Playing,Spike Chunsoft  ,FuRyu  
2131,Decay of Logos,PS4,2019,Role-Playing,Rising Star Games  ,Amplify Creations  
2132,Hunt: Showdown,PC,2019,Shooter,Crytek  ,Crytek  
2133,Knights and Bikes,PS4,2019,Action-Adventure,Double Fine Presents  ,Foam Sword  
2134,Knights and Bikes,PC,2019,Action-Adventure,Double Fine Presents  ,Foam Sword  
2135,Minoria,PC,2019,Action,DANGEN Entertainment  ,Bombservice  
2136,The Bard’s Tale IV: Director's Cut,XOne,2019,Role-Playing,inXile Entertainment  ,InXile Entertainment  
2137,The Bard’s Tale IV: Director's Cut,PS4,2019,Role-Playing,inXile Entertainment  ,InXile Entertainment  
2138,The Bard’s Tale IV: Director's Cut,PC,2019,Role-Playing,inXile Entertainment  ,InXile Entertainment  
2139,World of Warcraft: Classic,PC,2019,MMO,Blizzard Entertainment  ,Blizzard Entertainment  
2140,Telling Lies,PC,2019,Adventure,Annapurna Interactive  ,Sam Barlow  
2141,Telling Lies,iOS,2019,Adventure,Annapurna Interactive  ,Sam Barlow  
2142,Katakoi Contrast: Collection of Branch,NS,2019,Visual Novel,Idea Factory  ,Idea Factory  
2143,Oninaki,NS,2019,Action-Adventure,Square Enix  ,Tokyo RPG Factory  
2144,Oninaki,PS4,2019,Action-Adventure,Square Enix  ,Tokyo RPG Factory  
2145,Oninaki,PC,2019,Action-Adventure,Square Enix  ,Tokyo RPG Factory  
2146,SEGA Ages: Puyo Puyo,NS,2019,Shooter,Sega  ,Sega  
2147,SEGA Ages: Space Harrier,NS,2019,Shooter,Sega  ,Sega  
2148,GRIS,iOS,2019,Platform,Devolver Digital  ,Nomada Studio  
2149,RAD,NS,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  
2150,RAD,XOne,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  
2151,RAD,PC,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  
2152,RAD,PS4,2019,Action-Adventure,Bandai Namco Entertainment  ,Double Fine Productions  
2153,Remnant: From the Ashes,PC,2019,Shooter,Perfect World Entertainment  ,Gunfire Games  
2154,Remnant: From the Ashes,XOne,2019,Shooter,Perfect World Entertainment  ,Gunfire Games  
2155,Remnant: From the Ashes,PS4,2019,Shooter,Perfect World Entertainment  ,Gunfire Games  
2156,Remnant: From the Ashes,All,2019,Shooter,Perfect World Entertainment  ,Gunfire Games  
2157,Erica,PS4,2019,Adventure,Sony Interactive Entertainment  ,Flavourworks  
2158,FAR: Lone Sails,NS,2019,Adventure,Mixtvision  ,Okomotive  
2159,Grandia HD Collection,NS,2019,Role-Playing,GungHo Online Entertainment  ,GungHo Online Entertainment  
2160,Ion Fury,PC,2019,Shooter,3D Realms  ,Voidpoint  
2161,The Vanishing of Ethan Carter,NS,2019,Adventure,The Astronauts  ,The Astronauts  
2162,Vasara Collection,NS,2019,Shooter,QUByte Interactive  ,QUByte Interactive  
2163,Senran Kagura: Peach Ball,PC,2019,Misc,Xseed Games  ,Tamsoft  
2164,Vasara Collection,XOne,2019,Shooter,QUByte Interactive  ,QUByte Interactive  
2165,Exception,XOne,2019,Platform,Traxmaster Software  ,Traxmaster Software  
2166,Exception,PS4,2019,Platform,Traxmaster Software  ,Traxmaster Software  
2167,Exception,PC,2019,Platform,Traxmaster Software  ,Traxmaster Software  
2168,Exception,NS,2019,Platform,Traxmaster Software  ,Traxmaster Software  
2169,Friday the 13th: The Game,NS,2019,Action,Gun Media  ,IllFonic  
2170,Rebel Galaxy Outlaw,PC,2019,Action-Adventure,Double Damage Games  ,Double Damage Games  
2171,Vasara Collection,PC,2019,Shooter,QUByte Interactive  ,QUByte Interactive  
2172,Ciconia When They Cry,PC,2019,Visual Novel,MangaGamer  ,07th Expansion  
2173,Sword Art Online: Fatal Bullet,NS,2019,Role-Playing,Bandai Namco Entertainment  ,Dimps Corporation  
2174,Turok 2: Seeds of Evil,NS,2019,Shooter,"Night Dive Studios, LLC  ","Night Dive Studios, LLC  "
2175,Phantom Rose,PC,2019,Strategy,Studio Maka  ,makaroll  
2176,Pillars of Eternity: Complete Edition,NS,2019,Role-Playing,Versus Evil  ,Obsidian Entertainment  
2177,Age of Wonders: Planetfall,XOne,2019,Strategy,Paradox Interactive   ,Triumph Studios  
2178,Age of Wonders: Planetfall,PS4,2019,Strategy,Paradox Interactive   ,Triumph Studios  
2179,Age of Wonders: Planetfall,PC,2019,Strategy,Paradox Interactive   ,Triumph Studios  
2180,Metal Wolf Chaos XD,XOne,2019,Shooter,Devolver Digital  ,From Software  
2181,Metal Wolf Chaos XD,PC,2019,Shooter,Devolver Digital  ,From Software  
2182,Metal Wolf Chaos XD,PS4,2019,Shooter,Devolver Digital  ,From Software  
2183,Madden NFL 20,PC,2019,Sports,EA Sports  ,EA Tiburon  
2184,Madden NFL 20,PS4,2019,Sports,EA Sports  ,EA Tiburon  
2185,Madden NFL 20,XOne,2019,Sports,EA Sports  ,EA Tiburon  
2186,The Church in the Darkness,PC,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  
2187,The Church in the Darkness,XOne,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  
2188,The Church in the Darkness,PS4,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  
2189,The Church in the Darkness,NS,2019,Action-Adventure,Paranoid Productions  ,Paranoid Productions  
2190,Genesis,PS4,2019,Strategy,Rampage Games  ,Rampage Games  
2191,Genesis,PC,2019,Strategy,Rampage Games  ,Rampage Games  
2192,Pandemic,NS,2019,Board Game,Asmodee Digital  ,Asmodee Digital  
2193,Tokyo Chronos,PS4,2019,Adventure,Sekai Project  ,MyDearest Inc.  
2194,Oxygen Not Included,PC,2019,Simulation,Klei Entertainment  ,Klei Entertainment  
2195,Samurai Shodown,XOne,2019,Fighting,SNK  ,SNK Playmore  
2196,Doom,XOne,2019,Shooter,Bethesda Softworks  ,id Software  
2197,Doom,PS4,2019,Shooter,Bethesda Softworks  ,id Software  
2198,Doom,NS,2019,Shooter,Bethesda Softworks  ,id Software  
2199,Doom,iOS,2019,Shooter,Bethesda Softworks  ,id Software  
2200,Doom,And,2019,Shooter,Bethesda Softworks  ,id Software  
